Date : 2023-05-01 22:14:21
Directory : c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger
Total : 201 files,  36072 codes, 3734 comments, 6715 blanks, all 46521 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Editor\SharedBoingParamsEditor.cs                                                     | C#        |        261 |          9 |         35 |        305 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Resources\Boing Kit\BoingReactorFieldCompute.compute                                  | ShaderLab |        366 |         75 |         80 |        521 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\SharedBoingParams.cs                                                                  | C#        |         13 |          9 |          4 |         26 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Types.cs                                                                              | C#        |        217 |          9 |         36 |        262 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Util\Collision.cs                                                                     | C#        |        125 |         10 |         30 |        165 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Util\ConditionalFieldAttribute.cs                                                     | C#        |         44 |         14 |          5 |         63 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Util\ConditionalFieldAttributeDrawer.cs                                               | C#        |        137 |         15 |         33 |        185 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Util\MathUtil.cs                                                                      | C#        |         78 |          9 |         17 |        104 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Util\QuaternionUtil.cs                                                                | C#        |        192 |         35 |         41 |        268 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Util\SpringTracker.cs                                                                 | C#        |        404 |         10 |         90 |        504 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Script\Util\VectorUtil.cs                                                                    | C#        |        235 |         16 |         44 |        295 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKit.cginc                                                                        | ShaderLab |        318 |         27 |         70 |        415 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKitStandard.shader                                                               | ShaderLab |        229 |         39 |         82 |        350 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKitStandardCore.cginc                                                            | ShaderLab |        531 |         53 |        121 |        705 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKitStandardCoreForward.cginc                                                     | ShaderLab |         20 |         11 |          8 |         39 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKitStandardCoreForwardSimple.cginc                                               | ShaderLab |        277 |         11 |         81 |        369 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKitStandardMeta.cginc                                                            | ShaderLab |         42 |         20 |         16 |         78 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKitStandardShadow.cginc                                                          | ShaderLab |        146 |         24 |         31 |        201 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\BoingKitStandardSpecular.shader                                                       | ShaderLab |        230 |         38 |         79 |        347 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\Internal\BoingKitCore.cginc                                                           | ShaderLab |        100 |         29 |         26 |        155 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\Internal\BoingKitSampleReactorFieldShaderNode.cginc                                   | ShaderLab |         16 |          0 |          5 |         21 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\Internal\Math.cginc                                                                   | ShaderLab |         18 |          9 |          7 |         34 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\Internal\Quaternion.cginc                                                             | ShaderLab |        145 |         10 |         24 |        179 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\Internal\SpringFloat4.cginc                                                           | ShaderLab |         57 |         12 |         16 |         85 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Boing Kit\Shader\Internal\Vector.cginc                                                                 | ShaderLab |         84 |          9 |         20 |        113 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Magic circles\Demo magic circles Vol 1\CameraHolder.cs                                     | C#        |        152 |          1 |         11 |        164 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Map track markers VFX\Demo scene\RaycastInstance.cs                                        | C#        |         70 |          1 |          8 |         79 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\AutoDestroyPS.cs                                                         | C#        |         14 |         18 |          3 |         35 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\EGA_EffectSound.cs                                                       | C#        |         32 |          0 |          5 |         37 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\HittedObject.cs                                                          | C#        |         23 |          2 |          6 |         31 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\Hovl_DemoLasers.cs                                                       | C#        |         99 |         12 |         15 |        126 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\Hovl_Laser.cs                                                            | C#        |         84 |         29 |         11 |        124 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\Hovl_Laser2.cs                                                           | C#        |        122 |         11 |         13 |        146 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\Hovl_LaserDemo.cs                                                        | C#        |         88 |         25 |         11 |        124 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\ParticleCollisionInstance.cs                                             | C#        |         45 |          1 |          3 |         49 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\ProjectileMover.cs                                                       | C#        |         74 |          9 |         10 |         93 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\ProjectileMover2D.cs                                                     | C#        |         74 |          9 |         10 |         93 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Scripts\Rotator.cs                                                               | C#        |         20 |          0 |          2 |         22 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\AddTrail.shader                                                          | ShaderLab |        135 |        127 |         19 |        281 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\Add_CenterGlow.shader                                                    | ShaderLab |        141 |         94 |         16 |        251 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\BlendDistort.shader                                                      | ShaderLab |        137 |        164 |          9 |        310 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\Blend_CenterGlow.shader                                                  | ShaderLab |        140 |         99 |         15 |        254 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\Blend_Normals.shader                                                     | ShaderLab |         93 |        107 |          6 |        206 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\Blend_TwoSides.shader                                                    | ShaderLab |        106 |        183 |          6 |        295 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\DissolveNoise.shader                                                     | ShaderLab |        148 |        148 |         15 |        311 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\Distortion.shader                                                        | ShaderLab |         99 |         46 |          9 |        154 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\Electricity.shader                                                       | ShaderLab |        135 |         97 |         24 |        256 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\LightGlow.shader                                                         | ShaderLab |        112 |         94 |          7 |        213 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\Lit_CenterGlow.shader                                                    | ShaderLab |         42 |         26 |          4 |         72 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Hovl Studio\Resources\Shaders\SmoothSmoke.shader                                                       | ShaderLab |        109 |         44 |         15 |        168 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\RigifyToUnity\Scripts\Editor\RigifyToUnity.cs                                                          | C#        |         54 |         31 |         15 |        100 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\RigifyToUnity\Scripts\Editor\RigifyToUnityImportPreferencesWindow.cs                                   | C#        |         36 |         23 |         13 |         72 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\RigifyToUnity\Scripts\Editor\RigifyToUnityPrefs.cs                                                     | C#        |         40 |         23 |          7 |         70 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Samples\Shader Graph\13.1.8\Procedural Patterns\.sample.json                                           | JSON      |          6 |          0 |          1 |          7 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                                    | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                          | ShaderLab |        112 |          3 |         31 |        146 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                                 | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                            | ShaderLab |        243 |          4 |         71 |        318 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                                | ShaderLab |        241 |          4 |         66 |        311 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                                     | ShaderLab |        188 |         10 |         50 |        248 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                                     | ShaderLab |        183 |          8 |         50 |        241 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                         | ShaderLab |         82 |          4 |         21 |        107 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                             | ShaderLab |        183 |          8 |         50 |        241 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                                     | ShaderLab |        103 |          8 |         28 |        139 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                            | ShaderLab |        122 |          4 |         33 |        159 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_SDF.shader                                                                    | ShaderLab |        243 |          4 |         71 |        318 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMP_Sprite.shader                                                                 | ShaderLab |         97 |          0 |         20 |        117 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMPro.cginc                                                                       | ShaderLab |         63 |          2 |         20 |         85 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                                | ShaderLab |        122 |          2 |         34 |        158 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                            | ShaderLab |         62 |         10 |         14 |         86 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                               | ShaderLab |         76 |          7 |         19 |        102 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\TextMesh Pro\Sprites\EmojiOne.json                                                                     | JSON      |        155 |          0 |          2 |        157 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Toon Fantasy Nature\ToonShading\Shaders\TFF_Board_Cutout.shader                                        | ShaderLab |      1,659 |         35 |        359 |      2,053 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Toon Fantasy Nature\ToonShading\Shaders\TFF_CustomGrass.shader                                         | ShaderLab |      1,926 |        144 |        375 |      2,445 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Toon Fantasy Nature\ToonShading\Shaders\TFF_CustomToon.shader                                          | ShaderLab |      1,745 |         88 |        391 |      2,224 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Toon Fantasy Nature\ToonShading\Shaders\TFF_CustomToonOutline.shader                                   | ShaderLab |      1,885 |        103 |        433 |      2,421 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Toon Fantasy Nature\ToonShading\Shaders\TFF_CustomToonVegetation.shader                                | ShaderLab |      1,908 |        141 |        375 |      2,424 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Toon Fantasy Nature\ToonShading\Shaders\TFF_ToonFire.shader                                            | ShaderLab |      1,559 |        157 |        340 |      2,056 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Imports\Toon Fantasy Nature\ToonShading\Shaders\TFF_ToonWater.shader                                           | ShaderLab |      2,221 |        333 |        376 |      2,930 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Art\ConstantScale.cs                                                                           | C#        |         14 |          1 |          4 |         19 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Art\SH_Draw.shader                                                                             | ShaderLab |         59 |          1 |          9 |         69 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Attacks\Attack_Gallant.cs                                                                      | C#        |         16 |          0 |          6 |         22 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Attacks\ConsumeFood_Attack.cs                                                                  | C#        |         54 |          0 |         15 |         69 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Attacks\EnemyProjectile.cs                                                                     | C#        |         62 |          0 |         20 |         82 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Attacks\FoodConsumeProjectile.cs                                                               | C#        |         27 |          0 |          9 |         36 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Attacks\RoarAttack_Gallant.cs                                                                  | C#        |        115 |          0 |         39 |        154 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Attacks\Stomp\StompAttack_Gallant.cs                                                           | C#        |         81 |          0 |         22 |        103 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Gallant\Attacks\Triple\TripleAttack_Gallant.cs                                                         | C#        |         56 |          0 |         15 |         71 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\Player\Components\Footsteps\PlayerFootstepSound.cs                                                     | C#        |         13 |          0 |          3 |         16 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Prefabs\PopupText\PopupText.cs                                                                                 | C#        |         14 |          0 |          4 |         18 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Attacking\AttackComponent.cs                                                                           | C#        |         24 |          0 |         11 |         35 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Attacking\AttackController.cs                                                                          | C#        |         29 |          0 |         14 |         43 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Attacking\Attacks\TailSwipe_Attack.cs                                                                  | C#        |         31 |          0 |         14 |         45 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Interfaces.cs                                                                                          | C#        |          2 |          0 |         -3 |         -1 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\Action.cs                                                                    | C#        |         78 |          0 |         23 |        101 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\Actions\Action.cs                                                            | C#        |        -68 |          0 |        -20 |        -88 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\Actions\DrinkAction.cs                                                       | C#        |        -38 |          0 |        -12 |        -50 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\Actions\EatAction.cs                                                         | C#        |        -53 |          0 |        -17 |        -70 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\Area.cs                                                                      | C#        |          6 |          0 |          1 |          7 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\Entity.cs                                                                    | C#        |         -5 |          0 |         -2 |         -7 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\EntityBlackboard.cs                                                          | C#        |         34 |          0 |          8 |         42 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\Resource.cs                                                                  | C#        |          4 |          0 |          1 |          5 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\SequencedAction.cs                                                           | C#        |         45 |          0 |         12 |         57 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\AI Core\UtilityAI\UtilityAI.cs                                                                 | C#        |         73 |          0 |         23 |         96 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\Food.cs                                                                                        | C#        |         16 |          2 |          7 |         25 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\Gallant\ConsumeFood_GA.cs                                                                      | C#        |         20 |          0 |          5 |         25 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\Gallant\Gallant_Action.cs                                                                      | C#        |         16 |          0 |          3 |         19 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\Gallant\Gallant_Blackboard.cs                                                                  | C#        |         -6 |         -2 |         -3 |        -11 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\Gallant\Gallant_Entity.cs                                                                      | C#        |          5 |          0 |          0 |          5 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\GenericMonster\FoodProximity_Factor.cs                                                         | C#        |         25 |          0 |          8 |         33 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\GenericMonster\FoodSourceReaction.cs                                                           | C#        |         59 |          0 |         19 |         78 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\GenericMonster\HostileProximity_Factor.cs                                                      | C#        |         18 |          0 |          8 |         26 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\GenericMonster\HostileReaction_Action.cs                                                       | C#        |         34 |          0 |         11 |         45 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Monster\Water.cs                                                                                       | C#        |         12 |          2 |          5 |         19 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Player\Movement.cs                                                                                     | C#        |          1 |          0 |          1 |          2 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Player\PlayerCharacter.cs                                                                              | C#        |          3 |          0 |          4 |          7 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Player\PlayerDamagedEffect.cs                                                                          | C#        |          3 |          0 |          3 |          6 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Player\Stat.cs                                                                                         | C#        |          1 |          0 |          0 |          1 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Sensors\Sensor.cs                                                                                      | C#        |         15 |          0 |          2 |         17 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Sensors\SensorManager.cs                                                                               | C#        |          9 |         -1 |          5 |         13 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\Sensors\VisualSensor.cs                                                                                | C#        |         33 |         -2 |         12 |         43 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Assets\Scripts\UI\FoodSource.cs                                                                                       | C#        |        -53 |          0 |        -24 |        -77 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Logs\AssetImportWorker0-prev.log                                                                                      | Log       |        882 |          0 |         20 |        902 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Logs\AssetImportWorker0.log                                                                                           | Log       |        167 |          0 |          3 |        170 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Logs\AssetImportWorker1-prev.log                                                                                      | Log       |        731 |          0 |         16 |        747 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Logs\AssetImportWorker1.log                                                                                           | Log       |        161 |          0 |          3 |        164 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Logs\Packages-Update.log                                                                                              | Log       |         50 |          0 |          7 |         57 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Logs\shadercompiler-AssetImportWorker0.log                                                                            | Log       |          4 |          0 |          3 |          7 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Logs\shadercompiler-UnityShaderCompiler.exe0.log                                                                      | Log       |          3 |          0 |          2 |          5 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Packages\manifest.json                                                                                                | JSON      |         48 |          0 |          1 |         49 |
| c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger\Packages\packages-lock.json                                                                                           | JSON      |        522 |          0 |          1 |        523 |
| Total                                                                                                                                                                                               |           |     36,072 |      3,734 |      6,715 |     46,521 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
